provincia,año,total,asalariados_0,asalariados_1_2,asalariados_3_5,asalariados_6_9,asalariados_10_19,asalariados_20_49,asalariados_50_99,asalariados_100_199,asalariados_200_499,asalariados_500_999,asalariados_1000_4999,asalariados_5000
Total Nacional,2000,2595392,1417221,666054,246660,108534,85259,49855,12362,5373,2910,697,396,71
Total Nacional,1999,2518801,1388116,648771,235131,101717,79423,45639,11348,4826,2740,663,362,65
Valencia,2012,173008,93865,48702,15560,6980,4306,2292,699,346,179,41,34,4
Valencia,2011,177018,95505,47991,17413,7442,4749,2544,756,357,186,36,35,4
Valencia,2010,178755,93537,50219,17909,7828,5073,2723,781,426,178,46,30,5
Valencia,2009,184483,93665,52224,19038,8576,6109,3209,907,484,185,52,29,5
Valencia,2008,189931,94007,54299,20118,9263,6720,3706,1009,467,256,54,28,4
Valencia,2007,185965,92172,52736,19741,9263,6637,3666,974,445,248,49,31,3
Valencia,2006,175927,86810,49633,18960,8789,6404,3635,956,448,211,50,27,4
Valencia,2005,168136,83948,46831,17714,8382,6141,3508,903,409,213,55,29,3
Valencia,2004,164148,82469,45216,17216,8259,6076,3381,862,391,204,48,24,2
Valencia,2003,153434,77173,41769,16143,7810,5844,3256,841,350,185,43,17,3
Valencia,2002,148348,75664,39296,15434,7616,5664,3251,834,374,162,35,13,5
Valencia,2001,146692,76164,38332,14974,7198,5457,3177,834,354,162,24,13,3
Valencia,2000,145466,77942,37003,14223,6287,5490,3194,809,317,155,32,10,4
Valencia,1999,142483,76654,36712,13834,5944,5211,2933,746,264,141,28,13,3
Valladolid,2012,34309,18384,9690,3186,1437,890,472,133,69,29,10,8,1
Valladolid,2011,34857,18727,9406,3536,1493,936,504,139,65,34,8,8,1
Valladolid,2010,35254,18684,9739,3485,1568,982,533,143,67,38,5,8,2
Valladolid,2009,35479,18292,9964,3631,1636,1063,609,156,78,33,9,6,2
Valladolid,2008,36053,18446,10128,3669,1711,1132,672,162,90,27,7,8,1
Valladolid,2007,35173,18137,9824,3512,1653,1112,650,153,84,33,5,9,1
Valladolid,2006,33494,17114,9441,3378,1589,1057,625,169,75,31,6,8,1
Valladolid,2005,32012,16392,8995,3260,1499,1011,591,154,65,31,6,7,1
Valladolid,2004,31152,16033,8702,3151,1447,1015,555,145,59,33,5,6,1
Valladolid,2003,30252,16013,8040,3037,1417,971,512,161,51,38,6,4,2
Valladolid,2002,29326,15830,7520,2876,1391,937,532,151,47,28,8,3,3
Valladolid,2001,29417,16315,7316,2804,1323,916,509,147,50,26,5,3,3
Valladolid,2000,29314,16702,7134,2638,1192,916,532,118,48,23,6,2,3
Valladolid,1999,27971,15935,6959,2468,1089,824,505,114,49,18,5,2,3
Zamora,2012,11977,6632,3454,1102,423,215,105,25,16,3,1,1,0
Zamora,2011,12008,6655,3254,1244,461,237,106,31,16,3,0,1,0
Zamora,2010,12098,6514,3502,1223,436,264,113,25,16,4,0,1,0
Zamora,2009,12378,6626,3525,1257,482,306,134,25,18,4,0,1,0
Zamora,2008,12572,6645,3617,1264,527,309,152,32,21,4,0,1,0
Zamora,2007,12486,6686,3551,1266,485,307,134,32,20,4,0,1,0
Zamora,2006,12114,6471,3508,1198,483,275,130,26,20,2,0,1,0
Zamora,2005,11915,6468,3427,1145,442,261,128,23,16,4,0,1,0
Zamora,2004,11771,6338,3420,1138,443,276,112,25,16,2,0,1,0
Zamora,2003,11519,6319,3338,1065,397,243,121,22,11,1,1,1,0
Zamora,2002,11358,6383,3146,1014,424,237,118,26,8,2,0,0,0
Zamora,2001,11447,6588,3108,1002,377,222,116,21,11,2,0,0,0
Zamora,2000,11326,6643,2993,963,359,227,115,16,9,1,0,0,0
Zamora,1999,11114,6660,2881,888,352,210,100,18,5,0,0,0,0
Zaragoza,2012,63753,34630,16984,5930,2874,1798,992,321,125,61,25,12,1
Zaragoza,2011,65218,35762,16385,6525,2937,1975,1057,345,143,53,25,9,2
Zaragoza,2010,66267,34878,17854,6620,3081,2098,1142,344,156,62,20,10,2
Zaragoza,2009,66913,34653,18095,6780,3163,2299,1276,368,162,78,22,14,3
Zaragoza,2008,68150,34311,18976,7078,3296,2390,1409,385,174,97,15,15,4
Zaragoza,2007,65966,33118,18390,6957,3178,2331,1366,342,154,96,18,13,3
Zaragoza,2006,62817,31626,17283,6646,3138,2264,1272,323,143,86,18,15,3
Zaragoza,2005,65811,34239,17988,6558,3033,2200,1212,322,136,85,19,16,3
Zaragoza,2004,62031,31768,17073,6430,2956,2110,1142,299,130,82,22,16,3
Zaragoza,2003,60210,31358,16015,6150,2935,2069,1146,286,142,72,20,14,3
Zaragoza,2002,59627,31712,15499,5889,2838,1992,1158,294,135,78,19,12,1
Zaragoza,2001,59083,32254,14966,5618,2684,1970,1084,283,122,70,20,11,1
Zaragoza,2000,54211,28127,14615,5430,2416,1976,1169,260,118,75,14,10,1
Zaragoza,1999,57303,31993,14511,5202,2216,1853,1085,245,113,61,14,9,1
