provincia,año,total,asalariados_0,asalariados_1_2,asalariados_3_5,asalariados_6_9,asalariados_10_19,asalariados_20_49,asalariados_50_99,asalariados_100_199,asalariados_200_499,asalariados_500_999,asalariados_1000_4999,asalariados_5000
Córdoba,2001,39376,21567,10246,3797,1760,1175,622,145,35,25,3,1,0
Córdoba,2000,40356,23015,10219,3507,1565,1222,613,152,39,20,3,1,0
Córdoba,1999,32852,17526,8916,3201,1440,1041,541,126,37,21,2,1,0
A Coruña,2012,80408,44154,22359,7332,3224,1813,981,290,134,80,17,20,4
A Coruña,2011,81321,44841,21517,7993,3346,1960,1091,321,146,77,10,16,3
A Coruña,2010,82729,44228,23296,8052,3377,2022,1160,334,148,83,11,15,3
A Coruña,2009,83748,44007,23866,8182,3525,2257,1278,355,158,85,16,16,3
A Coruña,2008,84220,43314,24630,8273,3666,2341,1346,358,162,92,16,19,3
A Coruña,2007,82873,42861,24025,8160,3632,2298,1286,338,156,78,18,20,1
A Coruña,2006,79170,40666,23064,7937,3380,2288,1250,323,155,73,15,18,1
A Coruña,2005,77023,39898,22185,7643,3300,2215,1237,297,142,71,16,18,1
A Coruña,2004,74809,38746,21431,7550,3197,2202,1180,281,128,60,16,17,1
A Coruña,2003,71748,37609,20205,7152,3042,2097,1137,284,120,70,15,16,1
A Coruña,2002,66276,34388,18542,6728,2976,2031,1134,258,135,55,16,11,2
A Coruña,2001,70021,38084,18807,6606,2966,1982,1116,252,129,58,15,5,1
A Coruña,2000,69381,38822,18104,6299,2662,1939,1120,249,110,54,17,5,0
A Coruña,1999,63167,34778,16932,5795,2484,1803,1014,210,85,49,12,5,0
Cuenca,2012,13702,7310,4023,1354,527,293,142,37,11,2,1,2,0
Cuenca,2011,14001,7510,3816,1576,561,330,154,38,11,2,1,2,0
Cuenca,2010,14236,7408,4128,1550,567,372,161,29,17,2,1,1,0
Cuenca,2009,14747,7764,4091,1616,631,394,196,34,15,4,1,1,0
Cuenca,2008,14928,7416,4461,1689,678,406,214,41,15,6,1,1,0
Cuenca,2007,14741,7464,4393,1628,601,404,197,37,10,6,0,1,0
Cuenca,2006,13822,7032,4086,1501,597,363,193,31,13,5,0,1,0
Cuenca,2005,13336,7015,3918,1345,527,332,152,27,13,6,0,1,0
Cuenca,2004,12829,6791,3701,1323,539,306,127,25,10,6,0,1,0
Cuenca,2003,12546,6799,3576,1209,525,276,121,24,8,7,0,1,0
Cuenca,2002,12217,6840,3343,1115,482,274,124,20,12,6,0,1,0
Cuenca,2001,12043,6873,3204,1100,458,259,116,19,9,3,1,1,0
Cuenca,2000,12019,7058,3113,1050,379,269,117,17,10,4,1,1,0
Cuenca,1999,11687,6943,2986,1008,383,229,107,17,8,4,1,1,0
Guipúzcoa,2012,55574,29745,15389,4887,2442,1676,918,294,140,63,12,8,0
Guipúzcoa,2011,58456,32174,15771,4904,2422,1687,976,308,131,64,10,9,0
Guipúzcoa,2010,60580,33240,16493,5109,2480,1739,999,300,139,59,12,10,0
Guipúzcoa,2009,62034,33709,17069,5095,2567,1897,1160,314,136,66,13,8,0
Guipúzcoa,2008,63569,34709,17513,5118,2587,1911,1150,344,132,77,19,9,0
Guipúzcoa,2007,59546,31338,17147,5070,2431,1877,1118,329,134,74,20,8,0
Guipúzcoa,2006,58486,30716,16994,4957,2364,1821,1065,331,138,74,18,8,0
Guipúzcoa,2005,57193,29410,17210,4824,2353,1799,1047,320,136,73,13,8,0
Guipúzcoa,2004,56498,29206,16700,4840,2454,1754,1023,305,123,72,14,7,0
Guipúzcoa,2003,55983,29807,15827,4760,2317,1773,987,302,116,74,15,5,0
Guipúzcoa,2002,55202,30452,14848,4566,2203,1712,932,286,113,72,14,4,0
Guipúzcoa,2001,55180,29030,16338,4605,2203,1631,890,293,106,68,11,5,0
Guipúzcoa,2000,53833,28619,15815,4414,1905,1660,931,306,104,62,12,5,0
Guipúzcoa,1999,52502,28473,15204,4213,1766,1518,874,271,94,70,14,5,0
Girona,2012,57971,29671,17031,5833,2702,1558,822,215,83,45,7,4,0
Girona,2011,58052,30681,15669,6066,2714,1675,880,215,95,44,8,5,0
Girona,2010,58240,30725,15511,6129,2782,1754,960,218,106,42,8,5,0
Girona,2009,58404,30208,15426,6309,2965,2010,1095,223,116,40,7,5,0
Girona,2008,51467,22457,15554,6478,3171,2180,1196,242,128,50,5,6,0
Girona,2007,50108,21792,15160,6245,3144,2216,1135,244,118,42,5,6,1
Girona,2006,47169,19854,14426,6066,3185,2114,1119,238,112,40,7,8,0
Girona,2005,46827,19389,15042,5973,2959,2018,1044,231,121,36,7,7,0
Girona,2004,45145,18078,14841,5940,2961,1965,993,208,113,33,7,6,0
Girona,2003,52482,25113,15395,5863,2879,1903,963,204,118,32,8,4,0
Girona,2002,50226,24084,14594,5652,2829,1734,958,230,98,37,3,7,0
Girona,2001,48435,23471,13940,5354,2732,1676,886,231,97,41,4,3,0
Girona,2000,47973,23807,13630,5192,2333,1754,918,224,79,29,4,3,0
Girona,1999,46556,22983,13547,5022,2173,1658,873,193,71,26,8,2,0
Granada,2012,56243,31241,16083,5038,2026,1076,527,149,64,31,6,2,0
Granada,2011,57636,32201,15697,5553,2145,1163,614,149,70,32,9,3,0
Granada,2010,58319,31711,16538,5591,2314,1241,631,177,73,30,10,3,0
Granada,2009,60016,31922,17068,5971,2545,1472,718,195,82,30,10,3,0
Granada,2008,62269,32609,17596,6340,2741,1729,868,230,96,41,16,3,0
Granada,2007,61055,32409,16956,6101,2650,1688,882,217,96,43,9,4,0
Granada,2006,57223,30568,15711,5633,2492,1651,818,203,97,39,8,3,0
Granada,2005,54341,29793,14636,5078,2275,1448,781,192,88,40,7,3,0
Granada,2004,50508,27342,13843,4811,2159,1343,714,166,77,44,5,4,0
Granada,2003,49662,27978,12963,4487,2011,1290,669,157,69,29,5,4,0
Granada,2002,48121,27871,12210,4131,1828,1219,617,143,63,33,3,2,1
Granada,2001,45615,26965,11379,3728,1666,1086,573,126,63,24,3,1,1
Granada,2000,45111,27593,10745,3581,1385,1059,558,110,55,20,3,1,1
Granada,1999,43383,26841,10358,3293,1286,953,484,105,42,18,2,1,0
Guadalajara,2012,13213,7511,3550,1174,489,276,127,49,23,10,3,1,0
Guadalajara,2011,13256,7552,3334,1335,505,305,139,53,22,9,2,0,0
Guadalajara,2010,13494,7406,3658,1316,546,323,156,48,28,11,2,0,0
Guadalajara,2009,13507,7167,3769,1368,566,367,173,53,28,14,2,0,0
Guadalajara,2008,13735,7068,3934,1459,607,384,192,43,29,16,3,0,0
Guadalajara,2007,12874,6504,3728,1437,579,357,182,50,19,15,3,0,0
Guadalajara,2006,11825,6065,3302,1299,595,307,178,43,19,16,1,0,0
Guadalajara,2005,10438,5248,3046,1138,504,269,160,38,21,13,1,0,0
Guadalajara,2004,10120,5155,2965,1061,476,255,146,32,18,11,1,0,0
Guadalajara,2003,9422,4938,2672,967,411,244,133,28,17,10,1,1,0
Guadalajara,2002,9030,4855,2492,901,381,212,131,33,14,9,1,1,0
Guadalajara,2001,8717,4774,2353,868,350,209,116,28,9,8,1,1,0
Guadalajara,2000,8793,4960,2336,837,281,214,120,28,9,6,1,1,0
Guadalajara,1999,8518,4857,2234,801,285,181,120,24,8,6,1,1,0
Huelva,2012,25008,13144,7381,2552,976,556,269,78,29,19,3,1,0
Huelva,2011,25812,13510,7299,2777,1111,657,322,81,28,22,4,1,0
