provincia,año,total,total_dif,asalariados_0,asalariados_0_dif,asalariados_1_2,asalariados_1_2_dif,asalariados_3_5,asalariados_3_5_dif,asalariados_6_9,asalariados_6_9_dif,asalariados_10_19,asalariados_10_19_dif,asalariados_20_49,asalariados_20_49_dif,asalariados_50_99,asalariados_50_99_dif,asalariados_100_199,asalariados_100_199_dif,asalariados_200_499,asalariados_200_499_dif,asalariados_500_999,asalariados_500_999_dif,asalariados_1000_4999,asalariados_1000_4999_dif,asalariados_5000,asalariados_5000_dif
Ávila,2000,9904,162,5822,12,2597,86,886,57,279,-16,211,11,88,12,13,0,5,-1,1,1,2,0,0,0,0,0
Ávila,1999,9742,NULL,5810,NULL,2511,NULL,829,NULL,295,NULL,200,NULL,76,NULL,13,NULL,6,NULL,0,NULL,2,NULL,0,NULL,0,NULL
Badajoz,2012,39433,7,21650,-880,10956,1214,3781,-113,1533,-112,890,-63,431,-33,119,-10,49,3,16,2,6,-1,2,1,0,-1
Badajoz,2011,39426,-313,22530,-109,9742,-23,3894,-80,1645,-50,953,18,464,-48,129,-1,46,-22,14,-1,7,3,1,0,1,0
Badajoz,2010,39739,-1135,22639,223,9765,-997,3974,-110,1695,-21,935,-177,512,-54,130,-6,68,8,15,1,4,-2,1,0,1,0
Badajoz,2009,40874,-484,22416,718,10762,-907,4084,-14,1716,-93,1112,-110,566,-38,136,-26,60,3,14,-18,6,1,1,0,1,0
Badajoz,2008,41358,1190,21698,347,11669,529,4098,124,1809,111,1222,55,604,5,162,15,57,1,32,4,5,-1,1,0,1,0
Badajoz,2007,40168,2123,21351,1222,11140,473,3974,180,1698,108,1167,70,599,58,147,-4,56,9,28,4,6,2,1,0,1,1
Badajoz,2006,38045,993,20129,99,10667,526,3794,182,1590,50,1097,96,541,28,151,16,47,-9,24,5,4,0,1,0,0,0
Badajoz,2005,37052,2080,20030,1334,10141,404,3612,134,1540,97,1001,57,513,12,135,19,56,20,19,2,4,1,1,0,0,0
Badajoz,2004,34972,106,18696,-645,9737,424,3478,269,1443,-17,944,40,501,32,116,4,36,4,17,0,3,-3,1,-2,0,0
Badajoz,2003,34866,822,19341,382,9313,405,3209,16,1460,19,904,-17,469,20,112,-14,32,0,17,4,6,4,3,3,0,0
Badajoz,2002,34044,728,18959,97,8908,247,3193,225,1441,119,921,10,449,24,126,3,32,7,13,-5,2,1,0,0,0,0
Badajoz,2001,33316,-654,18862,-947,8661,72,2968,56,1322,147,911,19,425,-18,123,20,25,3,18,-5,1,-1,0,0,0,0
Badajoz,2000,33970,2262,19809,1180,8589,550,2912,259,1175,140,892,89,443,32,103,4,22,0,23,8,2,0,0,0,0,0
Badajoz,1999,31708,NULL,18629,NULL,8039,NULL,2653,NULL,1035,NULL,803,NULL,411,NULL,99,NULL,22,NULL,15,NULL,2,NULL,0,NULL,0,NULL
"Islas Baleares",2012,85372,-2089,46345,-1315,23735,585,8228,-808,3662,-205,1962,-226,948,-110,267,-2,149,-3,49,-5,13,1,13,-1,1,0
"Islas Baleares",2011,87461,-2101,47660,25,23150,-1517,9036,-213,3867,-102,2188,-177,1058,-67,269,-20,152,-25,54,0,12,-5,14,0,1,0
"Islas Baleares",2010,89562,-2264,47635,-286,24667,-509,9249,-551,3969,-274,2365,-402,1125,-204,289,-24,177,-5,54,-4,17,-3,14,-2,1,0
"Islas Baleares",2009,91826,-1509,47921,754,25176,-1355,9800,-83,4243,-346,2767,-207,1329,-198,313,-7,182,-14,58,-46,20,-6,16,-1,1,0
"Islas Baleares",2008,93335,2081,47167,1389,26531,374,9883,136,4589,32,2974,72,1527,54,320,10,196,12,104,4,26,1,17,-3,1,0
"Islas Baleares",2007,91254,3227,45778,1843,26157,969,9747,232,4557,67,2902,31,1473,48,310,16,184,-3,100,17,25,7,20,1,1,-1
"Islas Baleares",2006,88027,1003,43935,-424,25188,526,9515,285,4490,381,2871,128,1425,77,294,12,187,18,83,-4,18,-2,19,6,2,0
"Islas Baleares",2005,87024,1599,44359,2438,24662,-146,9230,-350,4109,-316,2743,-64,1348,38,282,13,169,-17,87,1,20,4,13,-2,2,0
"Islas Baleares",2004,85425,9474,41921,4683,24808,2885,9580,1216,4425,513,2807,154,1310,33,269,-18,186,-5,86,12,16,-4,15,5,2,0
"Islas Baleares",2003,75951,2593,37238,1076,21923,1192,8364,280,3912,8,2653,25,1277,25,287,-19,191,-2,74,-1,20,8,10,1,2,0
"Islas Baleares",2002,73358,1934,36162,562,20731,718,8084,302,3904,167,2628,122,1252,18,306,11,193,23,75,11,12,-1,9,0,2,1
"Islas Baleares",2001,71424,1850,35600,-365,20013,977,7782,511,3737,594,2506,101,1234,-12,295,10,170,28,64,3,13,2,9,1,1,0
"Islas Baleares",2000,69574,2442,35965,1184,19036,324,7271,364,3143,203,2405,221,1246,92,285,37,142,16,61,1,11,-1,8,0,1,1
"Islas Baleares",1999,67132,NULL,34781,NULL,18712,NULL,6907,NULL,2940,NULL,2184,NULL,1154,NULL,248,NULL,126,NULL,60,NULL,12,NULL,8,NULL,0,NULL
Barcelona,2012,446147,-7338,258810,-4447,109209,1922,37047,-2783,18314,-706,11694,-797,6814,-375,2163,-122,1192,23,583,-35,184,-2,120,-17,17,1
Barcelona,2011,453485,-5433,263257,3004,107287,-6316,39830,-590,19020,-775,12491,-408,7189,-278,2285,-20,1169,-50,618,-12,186,0,137,13,16,-1
Barcelona,2010,458918,-8467,260253,1603,113603,-3545,40420,-2440,19795,-813,12899,-1914,7467,-962,2305,-255,1219,-90,630,-35,186,-5,124,-11,17,0
Barcelona,2009,467385,-10557,258650,525,117148,-6150,42860,-1750,20608,-1229,14813,-984,8429,-732,2560,-71,1309,-48,665,-101,191,-23,135,7,17,-1
Barcelona,2008,477942,8510,258125,4996,123298,3557,44610,-61,21837,-129,15797,-131,9161,96,2631,69,1357,58,766,31,214,16,128,6,18,2
Barcelona,2007,469432,25022,253129,16638,119741,7177,44671,516,21966,157,15928,198,9065,108,2562,130,1299,45,735,53,198,-2,122,3,16,-1
Barcelona,2006,444410,8116,236491,3598,112564,1690,44155,1508,21809,681,15730,355,8957,166,2432,70,1254,33,682,24,200,-8,119,-5,17,4
Barcelona,2005,436294,18869,232893,13373,110874,3912,42647,766,21128,156,15375,110,8791,379,2362,82,1221,63,658,7,208,12,124,8,13,1
Barcelona,2004,417425,19732,219520,9275,106962,7989,41881,1677,20972,474,15265,404,8412,-73,2280,-50,1158,-5,651,25,196,7,116,8,12,1
Barcelona,2003,397693,6120,210245,-88,98973,3993,40204,1508,20498,433,14861,475,8485,-212,2330,-83,1163,60,626,6,189,18,108,9,11,1
Barcelona,2002,391573,17546,210333,9840,94980,4623,38696,1934,20065,481,14386,248,8697,360,2413,45,1103,3,620,-4,171,8,99,7,10,1
Barcelona,2001,374027,221,200493,-4408,90357,1400,36762,753,19584,2654,14138,49,8337,-397,2368,41,1100,79,624,32,163,13,92,4,9,1
Barcelona,2000,373806,-608,204901,-4634,88957,236,36009,1153,16930,858,14089,871,8734,617,2327,173,1021,86,592,15,150,6,88,12,8,-1
Barcelona,1999,374414,NULL,209535,NULL,88721,NULL,34856,NULL,16072,NULL,13218,NULL,8117,NULL,2154,NULL,935,NULL,577,NULL,144,NULL,76,NULL,9,NULL
Vizcaya,2012,82787,-3061,43518,-2377,23674,-629,7382,64,3587,-31,2401,-57,1413,-15,423,-16,215,15,112,-13,35,0,25,-2,2,0
Vizcaya,2011,85848,-1679,45895,-433,24303,-791,7318,-145,3618,-87,2458,-132,1428,-62,439,-19,200,-6,125,-3,35,-2,27,1,2,0
Vizcaya,2010,87527,-603,46328,616,25094,-673,7463,-154,3705,25,2590,-210,1490,-175,458,-9,206,-12,128,-9,37,-1,26,-2,2,1
Vizcaya,2009,88130,-1286,45712,-490,25767,-476,7617,-148,3680,-3,2800,-132,1665,-25,467,-8,218,1,137,-7,38,2,28,2,1,-2
Vizcaya,2008,89416,5207,46202,3803,26243,1002,7765,248,3683,18,2932,103,1690,4,475,16,217,3,144,7,36,2,26,1,3,0
Vizcaya,2007,84209,1668,42399,862,25241,577,7517,51,3665,7,2829,93,1686,58,459,4,214,7,137,5,34,2,25,2,3,0
Vizcaya,2006,82541,2033,41537,1712,24664,-31,7466,186,3658,69,2736,72,1628,7,455,25,207,-6,132,-1,32,3,23,-3,3,0
Vizcaya,2005,80508,1119,39825,30,24695,897,7280,134,3589,-63,2664,51,1621,54,430,17,213,1,133,2,29,-4,26,-1,3,1
Vizcaya,2004,79389,307,39795,-1633,23798,1477,7146,230,3652,113,2613,4,1567,103,413,10,212,-6,131,2,33,2,27,4,2,1
Vizcaya,2003,79082,1383,41428,-973,22321,1463,6916,285,3539,206,2609,186,1464,148,403,55,218,6,129,3,31,2,23,4,1,-2
Vizcaya,2002,77699,-832,42401,1443,20858,-2223,6631,-159,3333,11,2423,61,1316,32,348,-23,212,21,126,2,29,1,19,3,3,-1
Vizcaya,2001,78531,1247,40958,-25,23081,673,6790,287,3322,376,2362,35,1284,-107,371,-20,191,3,124,23,28,-1,16,1,4,2
Vizcaya,2000,77284,1242,40983,-1263,22408,1424,6503,438,2946,340,2327,141,1391,119,391,9,188,26,101,2,29,5,15,2,2,-1
Vizcaya,1999,76042,NULL,42246,NULL,20984,NULL,6065,NULL,2606,NULL,2186,NULL,1272,NULL,382,NULL,162,NULL,99,NULL,24,NULL,13,NULL,3,NULL
